heating_category,house_type,kwh_per_household,kwh_per_m2,kwh_per_person
with_and_without_electric_heating,Terraced house - Mid-terrace,"3,083",71,
with_and_without_electric_heating,Terraced house - End-terrace,"4,258",81,
with_and_without_electric_heating,Terraced house - Small up to 70m²,"3,421",75,
with_and_without_electric_heating,Terraced house - Medium/Large above 70m²,"4,399",52,
with_and_without_electric_heating,Semi-detached house,"4,009",76,
with_and_without_electric_heating,Detached house,"4,256",66,
with_and_without_electric_heating,Bungalow,"3,789",59,
with_and_without_electric_heating,Flat,"3,510",77,
with_and_without_electric_heating,Single pensioner household (65+ years old),"3,427",64,
with_and_without_electric_heating,Single non pensioner household,"3,853",69,
with_and_without_electric_heating,Multiple pensioner household,"3,812",70,"1,906"
with_and_without_electric_heating,Household with children,"3,672",68,966
with_and_without_electric_heating,Multiple person household with no dependent children,"4,232",77,"1,912"
without_electric_heating,Terraced house – Mid-terrace,"2,779",62,
without_electric_heating,Terraced house – End-terrace,"3,442",65,
without_electric_heating,Terraced house – Small up to 70m²,"2,894",64,
without_electric_heating,Terraced house – Medium/Large above 70m²,"4,399",52,
without_electric_heating,Semi-detached house,"3,847",73,
without_electric_heating,Detached house,"4,153",62,
without_electric_heating,Bungalow,"3,866",61,
without_electric_heating,Flat,"2,829",53,
without_electric_heating,Single pensioner household (65+ years old),"3,125",57,
without_electric_heating,Single non pensioner household,"3,562",62,
without_electric_heating,Multiple pensioner household,"4,045",71,"2,022"
without_electric_heating,Household with children,"3,244",62,866
without_electric_heating,Multiple person household with no dependent children,"4,194",73,"1,870"
without_electric_heating,Terraced house – Mid-terrace,"5,626",136,
without_electric_heating,Terraced house – Small up to 70m²,"6,169",136,
without_electric_heating,Semi-detached house,"4,828",87,
without_electric_heating,Detached house,"4,776",82,
without_electric_heating,Single non pensioner household,"5,831",107,
without_electric_heating,Multiple pensioner household,"3,525",70,"1,763"
without_electric_heating,Household with children,"5,214",82,"1,310"
without_electric_heating,Multiple person household with no dependent children,"5,148",108,"2,459"
with_primary_electric_heating,Flat,"4,265",105,
with_primary_electric_heating,"13,771",270,"3,443",
with_primary_electric_heating,"4,174",124,"2,087",
