,importance
active_connections,0.53202623
log_num_connections,0.09473853
num_connections,0.08982831
amperage,0.07297297
type_conn_perc,0.049839996
hightarif_perc,0.024535583
annual_consume_lowtarif_perc,0.023978129
total_capacity,0.015585778
perc_of_active_connections,0.014027357
year,0.013758165
city_te,0.012860801
purchase_area_te,0.009428405
net_manager_te,0.008674455
delivery_perc,0.008582241
year_trend,0.008371602
capacity_x_trend,0.0074548707
smartmeter_connections,0.006376638
smartmeter_perc,0.0037881488
smart_x_trend,0.0031717652
